pickup,destination,distance,time,passengers,payment_type,temperature,weather_condition,traffic_condition,fare_amount
Butwal,Lalitpur,2.1,55,4,credit card,20,rainy,heavy,1935
Biratnagar,Chitwan,9.2,45,4,credit card,23,rainy,light,2069
Kathmandu,Patan,4.3,55,1,cash,20,cloudy,heavy,1514
Butwal,Kathmandu,7.8,5,2,credit card,23,rainy,light,1203
Dharan,Lalitpur,9.3,10,4,cash,24,rainy,moderate,1403
Kathmandu,Birgunj,7.4,18,4,cash,21,clear,moderate,1090
Lalitpur,Dharan,4.2,35,2,cash,28,cloudy,light,894
Biratnagar,Patan,3.1,16,2,credit card,30,clear,moderate,679
Dharan,Patan,3.5,28,3,cash,16,cloudy,heavy,1136
Dharan,Bhaktapur,1.4,55,1,cash,29,clear,heavy,1061
Dharan,Biratnagar,2.5,14,1,credit card,25,rainy,moderate,537
Biratnagar,Patan,3.4,37,2,cash,15,cloudy,moderate,851
Biratnagar,Birgunj,4.5,26,1,cash,29,clear,moderate,759
Dharan,Biratnagar,2.8,58,2,credit card,17,cloudy,heavy,1705
Dharan,Kathmandu,4.9,33,1,cash,15,cloudy,light,852
Kathmandu,Patan,9.1,16,3,credit card,16,rainy,moderate,1560
Chitwan,Lalitpur,6.6,57,1,credit card,25,clear,heavy,2323
Kathmandu,Butwal,3.5,58,1,credit card,18,cloudy,light,1159
Patan,Chitwan,7.5,5,1,cash,15,rainy,heavy,1440
Dharan,Pokhara,9.8,22,3,cash,30,rainy,moderate,1485
Chitwan,Birgunj,2.0,24,3,credit card,30,clear,moderate,693
Dharan,Lalitpur,2.1,35,3,cash,17,clear,moderate,736
Chitwan,Dharan,9.4,39,4,credit card,22,rainy,light,2058
Pokhara,Patan,7.1,59,1,credit card,23,rainy,heavy,2681
Bhaktapur,Dharan,3.9,56,2,cash,26,clear,light,1077
Kathmandu,Dharan,9.5,33,4,credit card,22,clear,heavy,2699
Patan,Lalitpur,3.6,9,1,credit card,22,cloudy,moderate,581
Bhaktapur,Chitwan,6.7,32,4,cash,21,cloudy,light,1158
Birgunj,Pokhara,8.4,30,1,cash,25,cloudy,moderate,1185
Bhaktapur,Pokhara,6.6,56,2,cash,23,cloudy,light,1327
Biratnagar,Patan,0.6,58,4,cash,26,rainy,moderate,933
Kathmandu,Birgunj,9.1,9,2,cash,26,cloudy,heavy,1671
Lalitpur,Butwal,1.5,48,1,credit card,19,clear,moderate,823
Kathmandu,Butwal,4.8,46,3,cash,26,cloudy,light,1121
Bhaktapur,Birgunj,8.0,60,2,credit card,21,cloudy,light,1845
Birgunj,Patan,3.9,56,3,cash,26,clear,light,1091
Lalitpur,Birgunj,0.7,53,4,credit card,21,rainy,light,1060
Bhaktapur,Kathmandu,7.9,58,1,cash,21,rainy,light,1549
Pokhara,Butwal,8.8,46,4,credit card,16,clear,heavy,2754
Birgunj,Butwal,8.3,33,3,credit card,17,clear,moderate,1565
Birgunj,Pokhara,6.5,37,3,cash,25,clear,heavy,1801
Dharan,Pokhara,8.1,9,4,credit card,17,clear,moderate,1321
Butwal,Birgunj,4.5,30,4,cash,25,rainy,moderate,1056
Chitwan,Biratnagar,3.3,19,2,credit card,26,cloudy,moderate,753
Dharan,Patan,1.2,30,4,credit card,28,cloudy,light,699
Chitwan,Patan,1.1,41,1,credit card,26,cloudy,moderate,715
Birgunj,Pokhara,1.0,48,3,credit card,20,rainy,heavy,1459
Birgunj,Biratnagar,2.3,25,3,credit card,29,clear,moderate,728
Pokhara,Patan,2.8,36,4,cash,21,rainy,light,925
Lalitpur,Patan,6.7,42,2,credit card,28,clear,heavy,2152
Chitwan,Birgunj,8.7,30,3,credit card,30,cloudy,light,1624
Pokhara,Birgunj,5.8,41,1,cash,18,clear,heavy,1563
Lalitpur,Bhaktapur,7.3,40,2,credit card,26,cloudy,moderate,1519
Birgunj,Lalitpur,5.5,58,3,credit card,28,rainy,light,1732
Pokhara,Butwal,4.8,24,1,credit card,30,clear,moderate,956
Kathmandu,Bhaktapur,9.9,32,1,credit card,29,clear,light,1614
Bhaktapur,Kathmandu,4.3,59,4,cash,15,cloudy,heavy,1784
Chitwan,Butwal,1.9,24,4,credit card,21,clear,moderate,706
Birgunj,Biratnagar,10.0,32,3,credit card,19,cloudy,light,1809
Patan,Chitwan,9.3,19,4,credit card,24,rainy,light,1775
Biratnagar,Lalitpur,6.1,6,4,cash,24,rainy,heavy,1477
Bhaktapur,Pokhara,2.5,51,1,credit card,27,cloudy,heavy,1452
Patan,Kathmandu,4.3,51,2,credit card,25,cloudy,heavy,1901
Kathmandu,Biratnagar,5.8,51,4,cash,24,clear,moderate,1298
Pokhara,Chitwan,7.9,34,2,credit card,26,cloudy,moderate,1523
Biratnagar,Bhaktapur,8.3,14,4,credit card,21,cloudy,light,1382
Patan,Butwal,6.4,24,3,cash,23,clear,heavy,1525
Bhaktapur,Pokhara,3.9,14,1,cash,23,rainy,moderate,608
Chitwan,Bhaktapur,6.3,11,2,credit card,27,cloudy,moderate,1010
Lalitpur,Chitwan,2.7,24,4,cash,30,rainy,light,788
Chitwan,Birgunj,8.8,53,1,credit card,26,clear,moderate,1706
Bhaktapur,Chitwan,5.6,30,2,cash,21,clear,light,982
Chitwan,Bhaktapur,1.5,58,2,credit card,29,clear,moderate,1021
Biratnagar,Butwal,1.6,58,4,credit card,18,cloudy,heavy,1643
Bhaktapur,Birgunj,7.0,28,2,cash,29,clear,light,1075
Dharan,Pokhara,1.2,50,2,credit card,29,clear,light,906
Pokhara,Biratnagar,7.8,8,4,credit card,21,clear,moderate,1244
Pokhara,Bhaktapur,9.1,50,4,cash,29,rainy,heavy,2628
Chitwan,Butwal,8.6,8,1,cash,29,rainy,heavy,1589
Bhaktapur,Biratnagar,1.4,35,2,cash,19,cloudy,heavy,840
Bhaktapur,Lalitpur,9.0,13,3,credit card,25,clear,light,1417
Pokhara,Kathmandu,5.0,53,1,cash,25,rainy,light,1171
Pokhara,Birgunj,9.9,50,1,cash,20,rainy,moderate,1690
Kathmandu,Birgunj,3.8,55,1,credit card,20,cloudy,light,1126
Pokhara,Kathmandu,3.3,15,2,cash,23,clear,light,615
Patan,Pokhara,1.2,22,1,credit card,26,clear,moderate,463
Dharan,Kathmandu,3.5,27,1,cash,15,rainy,heavy,1083
Bhaktapur,Chitwan,7.3,48,4,credit card,16,clear,heavy,2490
Dharan,Birgunj,4.8,24,4,credit card,19,rainy,light,1201
Lalitpur,Pokhara,4.5,56,2,credit card,22,cloudy,moderate,1307
Biratnagar,Dharan,9.1,48,1,credit card,22,clear,light,1762
Bhaktapur,Butwal,8.1,40,4,cash,22,cloudy,heavy,2092
Chitwan,Birgunj,7.0,34,1,credit card,28,rainy,light,1482
Kathmandu,Dharan,2.7,11,1,cash,23,clear,heavy,615
Biratnagar,Chitwan,7.6,48,2,cash,17,rainy,heavy,2246
Lalitpur,Birgunj,1.9,46,3,credit card,22,cloudy,heavy,1418
Dharan,Chitwan,5.3,30,1,cash,26,rainy,light,938
Lalitpur,Birgunj,4.7,32,1,credit card,26,rainy,moderate,1106
Biratnagar,Butwal,7.1,46,3,credit card,17,clear,moderate,1606
Birgunj,Lalitpur,9.5,10,4,credit card,15,clear,light,1526
Bhaktapur,Patan,6.9,9,3,credit card,28,cloudy,moderate,1070
Patan,Kathmandu,7.8,16,2,cash,27,clear,heavy,1559
Dharan,Kathmandu,1.7,35,3,credit card,23,cloudy,heavy,1245
Bhaktapur,Lalitpur,6.1,19,2,cash,23,clear,moderate,903
Biratnagar,Pokhara,3.5,20,2,cash,24,cloudy,heavy,1008
Butwal,Lalitpur,4.4,53,2,cash,24,clear,light,1063
Kathmandu,Chitwan,0.9,40,4,credit card,25,clear,moderate,790
Bhaktapur,Dharan,6.4,14,2,credit card,16,rainy,light,1122
Lalitpur,Chitwan,4.7,17,1,cash,28,clear,heavy,1004
Dharan,Birgunj,6.7,6,1,cash,18,cloudy,light,737
Patan,Kathmandu,9.5,24,2,cash,30,cloudy,heavy,1933
Bhaktapur,Lalitpur,4.0,21,3,credit card,19,clear,heavy,1383
Chitwan,Pokhara,3.3,26,3,credit card,16,clear,moderate,916
Dharan,Pokhara,8.0,12,1,credit card,15,clear,moderate,1200
Bhaktapur,Pokhara,9.1,20,2,credit card,26,rainy,moderate,1574
Pokhara,Patan,6.7,50,4,cash,26,clear,moderate,1349
Patan,Kathmandu,6.8,23,1,credit card,23,cloudy,heavy,1774
Biratnagar,Pokhara,9.4,21,1,cash,22,clear,heavy,1832
Dharan,Biratnagar,5.4,31,3,credit card,19,cloudy,light,1240
Birgunj,Dharan,2.6,26,4,credit card,22,cloudy,light,874
Bhaktapur,Birgunj,1.4,27,3,cash,16,clear,heavy,884
Bhaktapur,Birgunj,9.5,47,4,cash,16,clear,moderate,1624
Bhaktapur,Chitwan,5.6,15,3,credit card,27,rainy,moderate,1178
Chitwan,Bhaktapur,1.3,7,3,credit card,27,rainy,heavy,697
Dharan,Bhaktapur,2.1,39,3,cash,17,cloudy,moderate,747
Chitwan,Butwal,6.3,6,4,credit card,30,cloudy,light,1103
Butwal,Lalitpur,8.8,8,2,credit card,19,rainy,light,1397
Kathmandu,Dharan,2.4,40,3,cash,29,clear,moderate,742
Pokhara,Biratnagar,5.2,32,4,credit card,20,clear,light,1261
Biratnagar,Pokhara,3.9,7,1,credit card,21,cloudy,moderate,566
Lalitpur,Bhaktapur,9.8,45,1,cash,25,rainy,moderate,1654
Dharan,Biratnagar,5.5,45,3,cash,20,cloudy,light,1111
Bhaktapur,Pokhara,4.6,42,3,credit card,21,rainy,light,1343
Butwal,Chitwan,7.6,27,2,credit card,22,clear,heavy,2016
Biratnagar,Kathmandu,4.8,51,1,credit card,16,clear,moderate,1293
Biratnagar,Lalitpur,9.2,7,4,cash,30,clear,moderate,1201
Kathmandu,Bhaktapur,8.1,52,2,cash,23,clear,moderate,1411
Biratnagar,Patan,7.8,34,1,credit card,17,rainy,moderate,1541
Biratnagar,Birgunj,3.7,42,2,credit card,19,clear,heavy,1602
Lalitpur,Bhaktapur,6.3,41,3,credit card,15,cloudy,heavy,2099
Bhaktapur,Dharan,7.2,57,1,credit card,23,rainy,light,1728
Patan,Chitwan,8.9,40,2,cash,25,cloudy,light,1353
Lalitpur,Kathmandu,6.1,9,4,cash,22,rainy,light,963
Chitwan,Birgunj,9.7,54,2,cash,22,rainy,heavy,2629
Patan,Dharan,1.5,50,3,credit card,27,clear,light,982
Birgunj,Biratnagar,2.5,18,1,credit card,21,cloudy,moderate,606
Kathmandu,Dharan,1.9,12,3,credit card,23,clear,moderate,589
Birgunj,Lalitpur,1.1,52,4,cash,24,cloudy,heavy,1218
Dharan,Patan,4.3,39,4,cash,22,cloudy,heavy,1537
Bhaktapur,Patan,6.4,19,3,cash,23,rainy,moderate,1054
Pokhara,Chitwan,2.4,9,3,credit card,21,clear,heavy,853
Bhaktapur,Kathmandu,8.6,37,3,credit card,15,cloudy,light,1666
Pokhara,Kathmandu,9.4,20,4,cash,19,cloudy,moderate,1352
Pokhara,Bhaktapur,4.0,20,2,credit card,15,cloudy,heavy,1252
Dharan,Biratnagar,4.3,34,2,credit card,24,cloudy,moderate,1080
Biratnagar,Dharan,5.9,34,1,cash,15,rainy,moderate,1124
Chitwan,Birgunj,9.3,44,1,credit card,16,clear,light,1696
Dharan,Chitwan,8.1,17,2,cash,22,rainy,moderate,1139
Lalitpur,Chitwan,8.2,38,2,cash,25,clear,heavy,1975
Birgunj,Lalitpur,4.3,23,1,cash,16,cloudy,heavy,1076
Bhaktapur,Patan,4.6,34,1,credit card,20,cloudy,light,1011
Patan,Birgunj,3.4,31,3,credit card,23,cloudy,light,997
Kathmandu,Lalitpur,3.7,58,4,credit card,18,clear,light,1392
Patan,Kathmandu,1.2,8,4,credit card,27,cloudy,heavy,767
Bhaktapur,Birgunj,7.8,27,2,credit card,20,cloudy,heavy,2092
Patan,Kathmandu,3.1,36,4,cash,20,rainy,light,966
Pokhara,Chitwan,1.3,47,3,credit card,24,cloudy,light,862
Biratnagar,Lalitpur,4.2,40,1,cash,26,rainy,heavy,1396
Biratnagar,Butwal,9.5,11,2,credit card,17,cloudy,moderate,1388
Birgunj,Butwal,9.5,9,3,cash,23,rainy,moderate,1357
Lalitpur,Birgunj,5.8,54,4,cash,30,cloudy,moderate,1369
Birgunj,Bhaktapur,6.2,33,4,cash,29,clear,heavy,1725
Chitwan,Birgunj,5.0,15,4,cash,19,clear,moderate,900
Lalitpur,Biratnagar,2.4,32,2,credit card,16,cloudy,heavy,1197
Dharan,Chitwan,1.4,20,3,credit card,28,rainy,heavy,1005
Pokhara,Butwal,1.6,12,1,credit card,23,clear,moderate,375
Birgunj,Biratnagar,0.8,42,3,credit card,16,clear,light,745
Dharan,Butwal,9.9,47,1,credit card,22,rainy,heavy,2971
Pokhara,Chitwan,1.3,29,2,cash,17,clear,moderate,523
Bhaktapur,Chitwan,2.6,50,3,cash,25,clear,heavy,1334
Dharan,Lalitpur,7.0,10,1,cash,27,cloudy,light,885
Pokhara,Bhaktapur,7.1,17,1,credit card,25,rainy,heavy,1818
Pokhara,Biratnagar,1.5,57,2,cash,19,cloudy,light,825
Pokhara,Kathmandu,4.3,58,1,cash,23,clear,moderate,1076
Butwal,Bhaktapur,2.8,29,3,credit card,17,cloudy,moderate,877
Chitwan,Pokhara,1.2,29,2,cash,29,cloudy,moderate,484
Birgunj,Pokhara,1.4,22,3,cash,24,clear,light,479
Dharan,Birgunj,4.6,5,1,credit card,26,cloudy,heavy,964
Kathmandu,Lalitpur,4.0,33,3,cash,27,rainy,light,920
Butwal,Pokhara,4.9,40,1,cash,24,clear,moderate,926
Pokhara,Biratnagar,7.4,5,3,cash,19,rainy,light,1012
Butwal,Biratnagar,7.7,30,2,credit card,28,cloudy,light,1417
Lalitpur,Pokhara,2.8,41,3,cash,17,rainy,moderate,908
Bhaktapur,Chitwan,8.5,49,4,credit card,30,clear,moderate,1860
Pokhara,Birgunj,5.8,11,1,cash,17,rainy,moderate,844
Lalitpur,Butwal,1.4,43,3,cash,23,rainy,light,810
Chitwan,Bhaktapur,4.5,34,4,cash,28,cloudy,moderate,990
Butwal,Lalitpur,9.4,13,4,cash,17,rainy,light,1446
Chitwan,Biratnagar,8.2,53,1,credit card,28,clear,moderate,1721
Chitwan,Biratnagar,6.1,48,2,cash,20,clear,light,1202
Chitwan,Biratnagar,5.7,25,1,cash,26,clear,heavy,1349
Birgunj,Chitwan,1.9,36,3,credit card,23,cloudy,heavy,1258
Lalitpur,Bhaktapur,2.0,12,3,cash,15,cloudy,heavy,661
Bhaktapur,Biratnagar,4.4,43,2,credit card,29,clear,heavy,1752
Birgunj,Patan,2.3,43,3,cash,22,clear,heavy,1249
Kathmandu,Patan,9.9,6,4,cash,29,cloudy,light,1213
Biratnagar,Patan,4.6,30,2,credit card,20,rainy,moderate,1116
Dharan,Chitwan,1.0,53,2,cash,21,rainy,light,815
Bhaktapur,Kathmandu,7.3,47,2,credit card,22,cloudy,moderate,1566
Pokhara,Butwal,3.5,28,4,cash,17,rainy,moderate,907
Dharan,Lalitpur,1.2,23,3,credit card,24,rainy,moderate,632
Patan,Butwal,5.4,42,3,credit card,21,clear,moderate,1285
Chitwan,Butwal,8.7,18,1,credit card,19,cloudy,light,1368
Bhaktapur,Pokhara,4.2,28,4,cash,27,cloudy,moderate,896
Patan,Butwal,2.0,19,3,credit card,15,rainy,heavy,1021
Chitwan,Lalitpur,6.4,47,3,credit card,20,rainy,heavy,2494
Butwal,Pokhara,3.0,9,2,credit card,21,cloudy,heavy,870
Chitwan,Bhaktapur,10.0,53,4,credit card,28,rainy,moderate,2248
Biratnagar,Birgunj,0.9,20,2,credit card,23,cloudy,moderate,476
Pokhara,Kathmandu,5.9,25,2,cash,18,cloudy,heavy,1372
Bhaktapur,Chitwan,6.2,33,4,cash,26,rainy,moderate,1226
Dharan,Biratnagar,2.8,9,2,cash,17,cloudy,moderate,459
Birgunj,Kathmandu,0.8,17,3,credit card,19,cloudy,heavy,720
Dharan,Biratnagar,9.3,38,4,cash,23,clear,moderate,1541
Pokhara,Kathmandu,9.2,48,2,credit card,27,rainy,moderate,2023
Kathmandu,Patan,9.8,8,3,cash,22,rainy,moderate,1372
Patan,Biratnagar,6.3,24,4,credit card,18,cloudy,heavy,1896
Bhaktapur,Butwal,5.2,59,3,cash,22,cloudy,heavy,1906
Kathmandu,Birgunj,6.1,30,2,credit card,20,rainy,heavy,1990
Pokhara,Patan,5.1,14,3,credit card,28,rainy,light,1010
Chitwan,Dharan,5.5,22,3,credit card,30,clear,moderate,1076
Bhaktapur,Dharan,9.0,15,4,credit card,23,clear,heavy,2211
Biratnagar,Bhaktapur,9.7,9,1,cash,22,rainy,moderate,1237
Biratnagar,Patan,5.4,52,2,cash,21,cloudy,moderate,1142
Biratnagar,Birgunj,8.4,22,1,cash,30,clear,light,1078
Patan,Bhaktapur,7.1,33,3,cash,18,cloudy,heavy,1832
Pokhara,Kathmandu,1.3,30,1,cash,28,rainy,heavy,783
Birgunj,Bhaktapur,4.9,45,3,cash,20,clear,moderate,1060
Pokhara,Dharan,1.8,43,1,cash,17,cloudy,light,670
Butwal,Biratnagar,7.9,41,4,credit card,19,cloudy,moderate,1710
Bhaktapur,Biratnagar,1.2,42,1,credit card,27,cloudy,heavy,1022
Birgunj,Patan,5.6,36,2,cash,26,rainy,moderate,1095
Dharan,Butwal,2.2,15,2,cash,25,rainy,moderate,517
Lalitpur,Patan,4.0,17,1,credit card,30,cloudy,heavy,1150
Lalitpur,Patan,0.9,56,2,credit card,24,rainy,light,942
Dharan,Kathmandu,8.8,49,3,credit card,22,rainy,light,2047
Dharan,Butwal,5.3,23,1,credit card,20,rainy,light,1034
Chitwan,Pokhara,3.9,59,4,credit card,16,clear,light,1423
Bhaktapur,Kathmandu,7.5,13,2,credit card,21,cloudy,heavy,1784
Butwal,Biratnagar,8.5,16,3,cash,17,cloudy,light,1112
Butwal,Pokhara,2.6,56,1,cash,21,clear,light,838
Pokhara,Patan,6.6,6,1,credit card,28,cloudy,moderate,890
Kathmandu,Bhaktapur,0.7,44,4,cash,25,cloudy,heavy,1098
Lalitpur,Butwal,8.9,22,2,credit card,30,rainy,light,1592
Butwal,Patan,5.9,37,4,cash,19,clear,moderate,1166
Chitwan,Dharan,7.6,38,1,cash,19,rainy,light,1350
Pokhara,Lalitpur,7.9,8,1,credit card,15,clear,heavy,1614
Kathmandu,Butwal,8.0,5,1,cash,30,cloudy,moderate,889
Butwal,Dharan,1.3,22,2,cash,16,cloudy,moderate,476
Kathmandu,Butwal,9.8,11,2,credit card,20,rainy,light,1561
Butwal,Dharan,3.0,50,2,cash,26,clear,moderate,855
Biratnagar,Dharan,7.6,8,2,credit card,16,clear,heavy,1732
Kathmandu,Pokhara,4.9,7,2,credit card,29,cloudy,moderate,827
Butwal,Bhaktapur,1.9,29,3,cash,22,clear,heavy,981
Biratnagar,Butwal,2.3,29,1,credit card,17,rainy,light,704
Kathmandu,Patan,2.7,48,2,credit card,21,clear,light,1038
Bhaktapur,Biratnagar,1.0,53,4,credit card,30,clear,moderate,1011
Bhaktapur,Birgunj,1.4,29,2,credit card,19,cloudy,moderate,601
Chitwan,Butwal,4.1,14,4,credit card,24,clear,light,927
Patan,Lalitpur,5.4,22,2,credit card,27,rainy,light,1178
Chitwan,Kathmandu,0.6,39,2,cash,17,rainy,light,567
Bhaktapur,Lalitpur,4.4,14,1,cash,22,rainy,moderate,698
Lalitpur,Dharan,8.4,51,1,credit card,22,clear,light,1655
Bhaktapur,Lalitpur,3.4,21,1,cash,20,rainy,moderate,628
Bhaktapur,Biratnagar,1.1,7,2,cash,16,rainy,moderate,343
Dharan,Chitwan,7.0,8,4,credit card,17,clear,light,1183
Patan,Biratnagar,1.6,14,1,credit card,25,clear,light,412
Patan,Dharan,9.5,6,1,cash,22,rainy,moderate,1132
Dharan,Kathmandu,1.5,13,1,credit card,29,rainy,light,403
Butwal,Kathmandu,6.2,16,3,cash,27,rainy,heavy,1538
Dharan,Biratnagar,1.0,5,4,cash,16,clear,light,311
Butwal,Pokhara,9.3,33,2,credit card,26,cloudy,heavy,2448
Pokhara,Dharan,1.5,21,3,cash,21,clear,light,523
Dharan,Kathmandu,9.0,30,3,credit card,29,rainy,light,1814
Patan,Dharan,2.9,44,2,credit card,16,rainy,heavy,1677
Birgunj,Pokhara,2.5,55,2,credit card,26,rainy,moderate,1230
Pokhara,Lalitpur,1.9,28,3,credit card,25,rainy,moderate,831
Chitwan,Biratnagar,2.3,50,2,cash,22,clear,heavy,1211
Chitwan,Bhaktapur,3.3,22,2,cash,24,rainy,heavy,1069
Patan,Butwal,5.3,41,1,credit card,23,rainy,heavy,1965
Biratnagar,Chitwan,3.7,18,1,cash,15,rainy,heavy,996
Bhaktapur,Dharan,5.3,27,1,cash,28,cloudy,moderate,842
Kathmandu,Butwal,8.5,41,2,credit card,15,cloudy,heavy,2415
Pokhara,Dharan,5.7,8,2,cash,27,clear,heavy,1155
Biratnagar,Chitwan,5.2,36,3,credit card,28,cloudy,moderate,1235
Chitwan,Birgunj,4.6,23,3,cash,20,clear,light,851
Biratnagar,Pokhara,3.2,37,1,credit card,20,clear,moderate,919
Kathmandu,Butwal,4.4,9,3,credit card,23,cloudy,moderate,866
Birgunj,Lalitpur,5.6,37,4,cash,18,clear,heavy,1719
Birgunj,Lalitpur,7.6,36,2,cash,22,clear,heavy,1784
Butwal,Pokhara,0.6,42,2,cash,23,rainy,heavy,941
Kathmandu,Pokhara,3.7,59,2,cash,19,rainy,moderate,1161
Chitwan,Lalitpur,4.8,43,1,credit card,24,rainy,light,1236
Butwal,Lalitpur,8.9,41,3,cash,16,cloudy,heavy,2176
Patan,Chitwan,2.6,9,4,cash,27,cloudy,heavy,804
Pokhara,Kathmandu,5.9,7,1,cash,23,clear,moderate,660
Kathmandu,Dharan,5.7,29,1,credit card,16,clear,moderate,1123
Biratnagar,Bhaktapur,2.8,38,3,cash,26,clear,moderate,848
Kathmandu,Bhaktapur,1.0,34,1,credit card,27,cloudy,light,610
Kathmandu,Chitwan,9.8,24,1,cash,18,clear,light,1304
Lalitpur,Biratnagar,2.3,37,4,credit card,15,clear,moderate,1009
Pokhara,Lalitpur,0.7,48,4,cash,22,rainy,moderate,797
Bhaktapur,Lalitpur,3.1,52,2,credit card,19,clear,light,1165
Butwal,Chitwan,6.4,53,3,credit card,24,cloudy,heavy,2353
Patan,Kathmandu,8.4,11,4,credit card,24,rainy,light,1476
Kathmandu,Bhaktapur,7.1,18,4,credit card,17,cloudy,moderate,1315
Biratnagar,Dharan,5.0,31,4,credit card,26,rainy,light,1286
Butwal,Patan,8.8,56,1,credit card,25,cloudy,moderate,1743
Birgunj,Patan,1.5,55,4,credit card,25,cloudy,heavy,1650
Butwal,Patan,2.5,14,3,cash,22,cloudy,moderate,516
Birgunj,Kathmandu,7.8,60,4,cash,26,rainy,moderate,1785
Lalitpur,Patan,1.1,57,3,credit card,29,clear,moderate,946
Lalitpur,Butwal,9.6,8,1,cash,24,cloudy,heavy,1594
Bhaktapur,Patan,3.9,38,4,credit card,22,clear,heavy,1777
Kathmandu,Chitwan,8.3,14,3,credit card,27,rainy,light,1495
Dharan,Biratnagar,9.6,9,4,credit card,15,rainy,moderate,1653
Biratnagar,Bhaktapur,6.0,27,4,cash,26,cloudy,light,1026
Biratnagar,Birgunj,1.9,23,4,cash,28,rainy,heavy,993
Pokhara,Butwal,6.0,24,2,credit card,29,cloudy,moderate,1085
Lalitpur,Birgunj,1.3,33,2,credit card,19,cloudy,heavy,1041
Birgunj,Dharan,3.9,10,3,cash,30,cloudy,moderate,660
Butwal,Chitwan,8.8,39,1,credit card,17,cloudy,moderate,1553
Bhaktapur,Pokhara,8.1,9,1,cash,26,rainy,heavy,1609
Lalitpur,Chitwan,4.6,29,1,credit card,29,rainy,heavy,1608
Birgunj,Bhaktapur,3.3,22,1,cash,20,clear,light,601
Patan,Pokhara,7.7,57,4,cash,29,rainy,heavy,2570
Butwal,Dharan,8.2,21,2,cash,19,clear,light,1157
Birgunj,Pokhara,0.9,6,1,cash,19,rainy,moderate,172
Butwal,Bhaktapur,6.5,59,4,cash,22,cloudy,moderate,1441
Dharan,Bhaktapur,1.1,34,2,cash,24,clear,light,531
Butwal,Birgunj,9.4,39,2,credit card,17,clear,moderate,1721
Patan,Bhaktapur,8.1,38,3,cash,28,clear,light,1379
Lalitpur,Pokhara,7.8,51,4,credit card,17,cloudy,heavy,2666
Patan,Butwal,4.6,15,3,cash,29,clear,moderate,774
Birgunj,Lalitpur,5.6,15,2,credit card,23,clear,moderate,960
Dharan,Pokhara,4.6,44,3,credit card,21,cloudy,light,1228
Bhaktapur,Biratnagar,0.9,53,3,cash,16,rainy,moderate,828
Butwal,Birgunj,7.7,39,3,credit card,28,clear,moderate,1614
Patan,Dharan,2.9,5,4,credit card,20,clear,moderate,627
Patan,Bhaktapur,1.8,50,2,credit card,18,cloudy,light,922
Bhaktapur,Butwal,0.7,58,3,credit card,20,clear,light,939
Lalitpur,Bhaktapur,0.7,18,2,credit card,17,clear,heavy,641
Chitwan,Dharan,8.5,7,4,credit card,24,rainy,moderate,1493
Biratnagar,Pokhara,6.1,31,4,cash,23,cloudy,light,1107
Patan,Dharan,2.2,12,4,cash,24,rainy,heavy,869
Chitwan,Lalitpur,7.4,6,4,credit card,28,cloudy,moderate,1186
Kathmandu,Birgunj,5.6,22,4,cash,19,cloudy,heavy,1424
Dharan,Birgunj,4.9,25,4,credit card,28,cloudy,heavy,1645
Chitwan,Dharan,6.0,31,4,credit card,22,clear,moderate,1370
Butwal,Biratnagar,7.5,35,4,cash,17,cloudy,moderate,1336
Lalitpur,Chitwan,1.4,56,3,credit card,23,rainy,heavy,1633
Bhaktapur,Kathmandu,3.7,8,1,credit card,27,cloudy,moderate,569
Chitwan,Pokhara,5.6,57,4,credit card,18,cloudy,heavy,2417
Bhaktapur,Pokhara,1.9,13,4,credit card,28,rainy,light,697
Bhaktapur,Pokhara,1.4,35,1,credit card,16,rainy,light,699
Kathmandu,Pokhara,6.6,59,1,cash,20,cloudy,light,1305
Chitwan,Biratnagar,3.3,53,3,cash,29,clear,light,988
Bhaktapur,Dharan,0.6,45,4,credit card,19,rainy,light,892
Kathmandu,Birgunj,8.4,36,1,credit card,26,clear,heavy,2241
Patan,Pokhara,5.9,21,1,credit card,25,clear,light,973
Dharan,Bhaktapur,9.6,21,1,credit card,29,rainy,heavy,2452
Dharan,Lalitpur,6.2,15,1,credit card,24,clear,heavy,1439
Pokhara,Biratnagar,5.7,59,4,cash,27,cloudy,moderate,1397
Biratnagar,Birgunj,1.1,31,1,cash,28,clear,moderate,425
Birgunj,Bhaktapur,9.8,57,1,credit card,25,clear,heavy,2921
Birgunj,Butwal,1.0,37,3,cash,25,clear,light,640
Chitwan,Birgunj,2.8,35,4,cash,19,cloudy,moderate,822
Chitwan,Butwal,9.9,23,1,cash,22,rainy,moderate,1401
Biratnagar,Bhaktapur,6.3,38,3,credit card,28,clear,heavy,2102
Chitwan,Bhaktapur,6.4,58,1,cash,17,rainy,light,1360
Biratnagar,Lalitpur,2.9,34,1,cash,19,rainy,moderate,711
Chitwan,Birgunj,8.4,53,1,credit card,26,clear,moderate,1735
Kathmandu,Dharan,8.9,54,4,cash,28,rainy,moderate,1789
Butwal,Dharan,2.4,26,2,cash,16,clear,moderate,595
Lalitpur,Dharan,9.4,54,4,credit card,28,clear,light,1981
Pokhara,Butwal,1.4,28,1,cash,24,rainy,heavy,735
Lalitpur,Patan,8.4,50,4,cash,19,clear,heavy,2271
Patan,Bhaktapur,2.0,59,4,credit card,21,clear,light,1159
Lalitpur,Biratnagar,6.0,42,2,credit card,29,clear,moderate,1367
